time,body,x,y,z,vx,vy,vz
30,1,0.974515,0.515500,0.000000,-0.156650,1.694428,0.000000
30,2,-0.933707,0.586179,0.000000,-1.389138,-0.982879,0.000000
30,3,-0.040808,-1.101679,0.000000,1.545787,-0.711549,0.000000
31,1,0.972906,0.532422,0.000000,-0.160849,1.692207,0.000000
31,2,-0.947558,0.576325,0.000000,-1.385114,-0.985405,0.000000
31,3,-0.025348,-1.108747,0.000000,1.545963,-0.706802,0.000000
32,1,0.971257,0.549322,0.000000,-0.164966,1.689954,0.000000
32,2,-0.961369,0.566446,0.000000,-1.381104,-0.987844,0.000000
32,3,-0.009888,-1.115768,0.000000,1.546070,-0.702110,0.000000
33,1,0.969567,0.566198,0.000000,-0.169002,1.687671,0.000000
33,2,-0.975140,0.556544,0.000000,-1.377109,-0.990198,0.000000
33,3,0.005573,-1.122743,0.000000,1.546111,-0.697473,0.000000
34,1,0.967837,0.583052,0.000000,-0.172957,1.685361,0.000000
34,2,-0.988871,0.546620,0.000000,-1.373131,-0.992468,0.000000
34,3,0.021034,-1.129672,0.000000,1.546089,-0.692893,0.000000
35,1,0.966069,0.599882,0.000000,-0.176831,1.683027,0.000000
35,2,-1.002563,0.536673,0.000000,-1.369173,-0.994656,0.000000
35,3,0.036494,-1.136555,0.000000,1.546004,-0.688371,0.000000
36,1,0.964263,0.616689,0.000000,-0.180624,1.680672,0.000000
36,2,-1.016215,0.526706,0.000000,-1.365237,-0.996763,0.000000
36,3,0.051953,-1.143394,0.000000,1.545861,-0.683909,0.000000
37,1,0.962419,0.633472,0.000000,-0.184336,1.678297,0.000000
37,2,-1.029829,0.516718,0.000000,-1.361325,-0.998791,0.000000
37,3,0.067410,-1.150190,0.000000,1.545661,-0.679506,0.000000
38,1,0.960539,0.650231,0.000000,-0.187969,1.675906,0.000000
38,2,-1.043403,0.506710,0.000000,-1.357438,-1.000742,0.000000
38,3,0.082864,-1.156941,0.000000,1.545407,-0.675165,0.000000
39,1,0.958624,0.666966,0.000000,-0.191523,1.673501,0.000000
39,2,-1.056939,0.496684,0.000000,-1.353577,-1.002616,0.000000
39,3,0.098315,-1.163650,0.000000,1.545100,-0.670884,0.000000
40,1,0.956674,0.683677,0.000000,-0.194998,1.671083,0.000000
40,2,-1.070436,0.486640,0.000000,-1.349746,-1.004417,0.000000
40,3,0.113762,-1.170317,0.000000,1.544744,-0.666666,0.000000
41,1,0.954690,0.700363,0.000000,-0.198395,1.668655,0.000000
41,2,-1.083896,0.476578,0.000000,-1.345945,-1.006145,0.000000
41,3,0.129205,-1.176942,0.000000,1.544340,-0.662510,0.000000
42,1,0.952673,0.717026,0.000000,-0.201716,1.666219,0.000000
42,2,-1.097318,0.466500,0.000000,-1.342175,-1.007803,0.000000
42,3,0.144644,-1.183526,0.000000,1.543890,-0.658416,0.000000
43,1,0.950624,0.733663,0.000000,-0.204960,1.663777,0.000000
43,2,-1.110702,0.456406,0.000000,-1.338438,-1.009392,0.000000
43,3,0.160078,-1.190070,0.000000,1.543398,-0.654385,0.000000
44,1,0.948542,0.750277,0.000000,-0.208130,1.661330,0.000000
44,2,-1.124049,0.446297,0.000000,-1.334734,-1.010914,0.000000
44,3,0.175507,-1.196574,0.000000,1.542864,-0.650417,0.000000
45,1,0.946430,0.766865,0.000000,-0.211226,1.658881,0.000000
45,2,-1.137360,0.436174,0.000000,-1.331065,-1.012370,0.000000
45,3,0.190930,-1.203039,0.000000,1.542291,-0.646511,0.000000
46,1,0.944288,0.783430,0.000000,-0.214249,1.656432,0.000000
46,2,-1.150634,0.426036,0.000000,-1.327432,-1.013764,0.000000
46,3,0.206347,-1.209466,0.000000,1.541681,-0.642668,0.000000
47,1,0.942116,0.799970,0.000000,-0.217200,1.653983,0.000000
47,2,-1.163873,0.415885,0.000000,-1.323836,-1.015095,0.000000
47,3,0.221757,-1.215855,0.000000,1.541036,-0.638888,0.000000
48,1,0.939915,0.816485,0.000000,-0.220081,1.651536,0.000000
48,2,-1.177075,0.405721,0.000000,-1.320277,-1.016367,0.000000
48,3,0.237161,-1.222206,0.000000,1.540358,-0.635169,0.000000
49,1,0.937686,0.832976,0.000000,-0.222893,1.649094,0.000000
49,2,-1.190243,0.395546,0.000000,-1.316756,-1.017581,0.000000
49,3,0.252557,-1.228521,0.000000,1.539649,-0.631513,0.000000
50,1,0.935429,0.849442,0.000000,-0.225637,1.646656,0.000000
50,2,-1.203376,0.385358,0.000000,-1.313273,-1.018738,0.000000
50,3,0.267946,-1.234801,0.000000,1.538910,-0.627918,0.000000
51,1,0.933146,0.865885,0.000000,-0.228314,1.644225,0.000000
51,2,-1.216474,0.375160,0.000000,-1.309829,-1.019841,0.000000
51,3,0.283328,-1.241044,0.000000,1.538143,-0.624384,0.000000
52,1,0.930837,0.882303,0.000000,-0.230926,1.641802,0.000000
52,2,-1.229538,0.364951,0.000000,-1.306424,-1.020891,0.000000
52,3,0.298701,-1.247254,0.000000,1.537350,-0.620910,0.000000
53,1,0.928502,0.898697,0.000000,-0.233473,1.639387,0.000000
53,2,-1.242569,0.354732,0.000000,-1.303060,-1.021890,0.000000
53,3,0.314066,-1.253428,0.000000,1.536532,-0.617497,0.000000
54,1,0.926143,0.915066,0.000000,-0.235957,1.636982,0.000000
54,2,-1.255566,0.344504,0.000000,-1.299735,-1.022839,0.000000
54,3,0.329423,-1.259570,0.000000,1.535692,-0.614143,0.000000
55,1,0.923759,0.931412,0.000000,-0.238380,1.634588,0.000000
55,2,-1.268531,0.334266,0.000000,-1.296450,-1.023741,0.000000
55,3,0.344772,-1.265678,0.000000,1.534830,-0.610848,0.000000
56,1,0.921351,0.947734,0.000000,-0.240743,1.632206,0.000000
56,2,-1.281463,0.324020,0.000000,-1.293206,-1.024596,0.000000
56,3,0.360111,-1.271755,0.000000,1.533949,-0.607611,0.000000
57,1,0.918921,0.964033,0.000000,-0.243046,1.629837,0.000000
57,2,-1.294363,0.313766,0.000000,-1.290002,-1.025406,0.000000
57,3,0.375442,-1.277799,0.000000,1.533048,-0.604431,0.000000
58,1,0.916468,0.980307,0.000000,-0.245292,1.627480,0.000000
58,2,-1.307231,0.303504,0.000000,-1.286839,-1.026172,0.000000
58,3,0.390763,-1.283812,0.000000,1.532131,-0.601308,0.000000
59,1,0.913993,0.996559,0.000000,-0.247481,1.625139,0.000000
59,2,-1.320068,0.293235,0.000000,-1.283716,-1.026898,0.000000
59,3,0.406075,-1.289794,0.000000,1.531197,-0.598241,0.000000
60,1,0.911497,1.012787,0.000000,-0.249615,1.622812,0.000000
